2026-04-25 12:25:16 | INFO     | src.models.linear_model | Linear Regression trained.  Train R²=0.9994
2026-04-25 12:25:16 | INFO     | src.evaluation | [Linear Regression] MAE=2.3682 RMSE=3.2853 MAPE=0.16% R²=0.9979
2026-04-25 12:25:35 | INFO     | src.data_collection | Loading cached data: RELIANCE_2021-01-01_2026-04-25.parquet
2026-04-25 12:25:35 | INFO     | src.data_collection | Validated RELIANCE: 1312 rows, 2021-01-01 → 2026-04-24
2026-04-25 12:25:35 | WARNING  | src.preprocessing | Winsorised 5 outliers in column 'Volume'.
2026-04-25 12:25:35 | INFO     | src.preprocessing | Cleaned DataFrame: 1312 rows, NaN remaining: 1
2026-04-25 12:25:35 | INFO     | src.feature_engineering | Sentiment merged: ['sentiment_mean', 'sentiment_std', 'news_count', 'positive_ratio', 'negative_ratio']
2026-04-25 12:25:35 | INFO     | src.feature_engineering | Features built: 49 columns, 1263 rows (dropped 49 NaN rows).
2026-04-25 12:25:35 | INFO     | src.preprocessing | Split → train=884 [2021-03-15→2024-10-11]  val=189 [2024-10-14→2025-07-16]  test=190 [2025-07-17→2026-04-24]
2026-04-25 12:25:35 | INFO     | src.preprocessing | Scaler fitted on 884 training rows.
2026-04-25 12:25:35 | INFO     | src.models.base_model | [XGBoost] MAE=0.0027  RMSE=0.0042  MAPE=0.79%  R²=0.9996
2026-04-25 12:25:35 | INFO     | src.models.xgb_model | XGBoost trained.  Best iter=155  Train R²=0.9996
2026-04-25 12:25:35 | INFO     | src.evaluation | [XGBoost] MAE=10.7722 RMSE=14.4726 MAPE=0.73% R²=0.9629
2026-04-25 12:25:35 | INFO     | src.models.base_model | [LinearRegression] MAE=0.0035  RMSE=0.0047  MAPE=0.92%  R²=0.9995
2026-04-25 12:25:35 | INFO     | src.models.linear_model | Linear Regression trained.  Train R²=0.9995
2026-04-25 12:25:35 | INFO     | src.evaluation | [Linear Regression] MAE=3.0750 RMSE=4.2122 MAPE=0.21% R²=0.9969
2026-04-25 12:26:34 | INFO     | src.data_collection | Loading cached data: RELIANCE_2021-01-01_2026-04-25.parquet
2026-04-25 12:26:34 | INFO     | src.data_collection | Validated RELIANCE: 1312 rows, 2021-01-01 → 2026-04-24
2026-04-25 12:26:34 | WARNING  | src.preprocessing | Winsorised 5 outliers in column 'Volume'.
2026-04-25 12:26:34 | INFO     | src.preprocessing | Cleaned DataFrame: 1312 rows, NaN remaining: 1
2026-04-25 12:26:34 | INFO     | src.feature_engineering | Features built: 44 columns, 1263 rows (dropped 49 NaN rows).
